fiscal_year,rate
1969,10.0
1970,10.0
1971,10.0
1972,10.0
1973,10.0
1974,10.0
1975,10.0
1976,10.0
1977,10.0
1978,10.0
1979,10.0
1980,10.0
1981,10.0
1982,10.0
1983,10.0
1984,10.0
1985,10.0
1986,20.0
1987,17.5
1988,15.0
1989,15.0
1990,15.0
1991,15.0
1992,15.0
1993,15.0
1994,15.0
1995,15.0
1996,15.0
1997,15.0
1998,15.0
1999,15.0
2000,15.0
2001,15.0
2002,15.0
2003,15.0
2004,15.0
2005,15.0
2006,15.0
2007,15.0
2008,15.0
2009,20.0
2010,20.0
2011,20.0
2012,20.0
2013,20.0
2014,20.0
2015,20.0
2016,22.5
2017,22.5
2018,22.5
2019,22.5
2020,22.5
2021,25.0
2022,22.5
2023,22.5
2024,22.5
2025,22.5
