fiscal_year,rate
1969,1.00
1970,1.00
1971,1.00
1972,1.00
1973,1.00
1974,1.00
1975,1.00
1976,1.00
1977,1.00
1978,1.00
1979,1.00
1980,1.00
1981,1.00
1982,2.00
1983,2.00
1984,2.50
1985,2.50
1986,2.50
1987,2.50
1988,2.50
1989,4.07
1990,4.07
1991,3.92
1992,3.69
1993,3.46
1994,3.23
1995,3.00
1996,3.00
1997,3.00
1998,3.00
1999,3.00
2000,3.00
2001,3.00
2002,3.00
2003,3.00
2004,3.00
2005,3.00
2006,3.00
2007,3.00
2008,3.00
2009,3.00
2010,3.00
2011,3.00
2012,3.00
2013,3.00
2014,3.00
2015,3.00
2016,3.00
2017,3.05
2018,3.10
2019,3.278
2020,3.278
2021,3.278
2022,3.278
2023,3.278
2024,3.278
2025,3.278
