name,fiscal_year,total,month_name,month,fiscal_month,year
real_estate,2014,8171797.0,jul,7,1,2013
wage_city,2014,109990891.0,jul,7,1,2013
wage_pica,2014,32446877.0,jul,7,1,2013
wage,2014,142437768.0,jul,7,1,2013
earnings_city,2014,633035.0,jul,7,1,2013
earnings_pica,2014,290072.0,jul,7,1,2013
earnings,2014,923107.0,jul,7,1,2013
net_profits_city,2014,817510.0,jul,7,1,2013
net_profits_pica,2014,-314035.0,jul,7,1,2013
net_profits,2014,503475.0,jul,7,1,2013
birt,2014,5267558.0,jul,7,1,2013
sales,2014,21638628.0,jul,7,1,2013
amusement,2014,1472970.0,jul,7,1,2013
tobacco,2014,890.0,jul,7,1,2013
parking,2014,5915541.0,jul,7,1,2013
valet,2014,136163.0,jul,7,1,2013
real_estate_transfer,2014,15161436.0,jul,7,1,2013
outdoor_ads,2014,231817.0,jul,7,1,2013
other_taxes,2014,424002.0,jul,7,1,2013
all_taxes,2014,169862238.0,jul,7,1,2013
real_estate,2014,7409851.0,aug,8,2,2013
wage_city,2014,89516776.0,aug,8,2,2013
wage_pica,2014,26260623.0,aug,8,2,2013
wage,2014,115777399.0,aug,8,2,2013
earnings_city,2014,516718.0,aug,8,2,2013
earnings_pica,2014,251690.0,aug,8,2,2013
earnings,2014,768408.0,aug,8,2,2013
net_profits_city,2014,355676.0,aug,8,2,2013
net_profits_pica,2014,53315.0,aug,8,2,2013
net_profits,2014,408991.0,aug,8,2,2013
birt,2014,5345156.0,aug,8,2,2013
sales,2014,23597016.0,aug,8,2,2013
amusement,2014,4357829.0,aug,8,2,2013
tobacco,2014,4342.0,aug,8,2,2013
parking,2014,5977426.0,aug,8,2,2013
valet,2014,121306.0,aug,8,2,2013
real_estate_transfer,2014,13039843.0,aug,8,2,2013
outdoor_ads,2014,248413.0,aug,8,2,2013
other_taxes,2014,592.0,aug,8,2,2013
all_taxes,2014,150490944.0,aug,8,2,2013
real_estate,2014,7086287.0,sep,9,3,2013
wage_city,2014,93836515.0,sep,9,3,2013
wage_pica,2014,27591696.0,sep,9,3,2013
wage,2014,121428211.0,sep,9,3,2013
earnings_city,2014,228130.0,sep,9,3,2013
earnings_pica,2014,149974.0,sep,9,3,2013
earnings,2014,378104.0,sep,9,3,2013
net_profits_city,2014,710354.0,sep,9,3,2013
net_profits_pica,2014,401842.0,sep,9,3,2013
net_profits,2014,1112196.0,sep,9,3,2013
birt,2014,18787065.0,sep,9,3,2013
sales,2014,21393985.0,sep,9,3,2013
amusement,2014,754198.0,sep,9,3,2013
tobacco,2014,697.0,sep,9,3,2013
parking,2014,6191612.0,sep,9,3,2013
valet,2014,120867.0,sep,9,3,2013
real_estate_transfer,2014,12658179.0,sep,9,3,2013
outdoor_ads,2014,189389.0,sep,9,3,2013
other_taxes,2014,4889.0,sep,9,3,2013
all_taxes,2014,161962167.0,sep,9,3,2013
real_estate,2014,6902522.0,oct,10,4,2013
wage_city,2014,114628021.0,oct,10,4,2013
wage_pica,2014,33875787.0,oct,10,4,2013
wage,2014,148503808.0,oct,10,4,2013
earnings_city,2014,641860.0,oct,10,4,2013
earnings_pica,2014,278429.0,oct,10,4,2013
earnings,2014,920289.0,oct,10,4,2013
net_profits_city,2014,589821.0,oct,10,4,2013
net_profits_pica,2014,289224.0,oct,10,4,2013
net_profits,2014,879045.0,oct,10,4,2013
birt,2014,17125587.0,oct,10,4,2013
sales,2014,21187128.0,oct,10,4,2013
amusement,2014,1021326.0,oct,10,4,2013
tobacco,2014,3185.0,oct,10,4,2013
parking,2014,6090518.0,oct,10,4,2013
valet,2014,109565.0,oct,10,4,2013
real_estate_transfer,2014,12219707.0,oct,10,4,2013
outdoor_ads,2014,266555.0,oct,10,4,2013
other_taxes,2014,133954.0,oct,10,4,2013
all_taxes,2014,180919749.0,oct,10,4,2013
real_estate,2014,6047858.0,nov,11,5,2013
wage_city,2014,96098793.0,nov,11,5,2013
wage_pica,2014,28518168.0,nov,11,5,2013
wage,2014,124616961.0,nov,11,5,2013
earnings_city,2014,423174.0,nov,11,5,2013
earnings_pica,2014,259783.0,nov,11,5,2013
earnings,2014,682957.0,nov,11,5,2013
net_profits_city,2014,178771.0,nov,11,5,2013
net_profits_pica,2014,110664.0,nov,11,5,2013
net_profits,2014,289435.0,nov,11,5,2013
birt,2014,-3266483.0,nov,11,5,2013
sales,2014,22679439.0,nov,11,5,2013
amusement,2014,1120451.0,nov,11,5,2013
tobacco,2014,424.0,nov,11,5,2013
parking,2014,6726719.0,nov,11,5,2013
valet,2014,114536.0,nov,11,5,2013
real_estate_transfer,2014,11699988.0,nov,11,5,2013
outdoor_ads,2014,219594.0,nov,11,5,2013
other_taxes,2014,1194.0,nov,11,5,2013
all_taxes,2014,142044458.0,nov,11,5,2013
real_estate,2014,13011154.0,dec,12,6,2013
wage_city,2014,96888957.0,dec,12,6,2013
wage_pica,2014,26919581.0,dec,12,6,2013
wage,2014,123808538.0,dec,12,6,2013
earnings_city,2014,293540.0,dec,12,6,2013
earnings_pica,2014,130316.0,dec,12,6,2013
earnings,2014,423856.0,dec,12,6,2013
net_profits_city,2014,399683.0,dec,12,6,2013
net_profits_pica,2014,160444.0,dec,12,6,2013
net_profits,2014,560127.0,dec,12,6,2013
birt,2014,7072332.0,dec,12,6,2013
sales,2014,21015562.0,dec,12,6,2013
amusement,2014,1162460.0,dec,12,6,2013
tobacco,2014,1104.0,dec,12,6,2013
parking,2014,5887196.0,dec,12,6,2013
