name,fiscal_year,total,month_name,month,fiscal_month,year
us_government,2014,1842079.0,jul,7,1,2013
commonwealth_of_pa,2014,5519875.0,jul,7,1,2013
other_governmental_units,2014,500000.0,jul,7,1,2013
pica_transfer,2014,20223840.0,jul,7,1,2013
parking_receipts_ppa,2014,0.0,jul,7,1,2013
total_other_govts,2014,28085794.0,jul,7,1,2013
us_government,2014,4847192.0,aug,8,2,2013
commonwealth_of_pa,2014,55901648.0,aug,8,2,2013
other_governmental_units,2014,13797.0,aug,8,2,2013
pica_transfer,2014,27974428.0,aug,8,2,2013
parking_receipts_ppa,2014,8385073.0,aug,8,2,2013
total_other_govts,2014,97122138.0,aug,8,2,2013
us_government,2014,1637199.0,sep,9,3,2013
commonwealth_of_pa,2014,65143388.0,sep,9,3,2013
other_governmental_units,2014,7524.0,sep,9,3,2013
pica_transfer,2014,24413850.0,sep,9,3,2013
parking_receipts_ppa,2014,3399868.0,sep,9,3,2013
total_other_govts,2014,94601829.0,sep,9,3,2013
us_government,2014,1510746.0,oct,10,4,2013
commonwealth_of_pa,2014,57447050.0,oct,10,4,2013
other_governmental_units,2014,1864.0,oct,10,4,2013
pica_transfer,2014,18699893.0,oct,10,4,2013
parking_receipts_ppa,2014,1061470.0,oct,10,4,2013
total_other_govts,2014,78721023.0,oct,10,4,2013
us_government,2014,3063316.0,nov,11,5,2013
commonwealth_of_pa,2014,51364693.0,nov,11,5,2013
other_governmental_units,2014,18562.0,nov,11,5,2013
pica_transfer,2014,34894363.0,nov,11,5,2013
parking_receipts_ppa,2014,4251794.0,nov,11,5,2013
total_other_govts,2014,93592728.0,nov,11,5,2013
us_government,2014,2010314.0,dec,12,6,2013
commonwealth_of_pa,2014,1817199.0,dec,12,6,2013
other_governmental_units,2014,25408.0,dec,12,6,2013
pica_transfer,2014,20157729.0,dec,12,6,2013
parking_receipts_ppa,2014,91103.0,dec,12,6,2013
total_other_govts,2014,24101753.0,dec,12,6,2013
us_government,2014,1627011.0,jan,1,7,2014
commonwealth_of_pa,2014,7983858.0,jan,1,7,2014
other_governmental_units,2014,83725.0,jan,1,7,2014
pica_transfer,2014,28636663.0,jan,1,7,2014
parking_receipts_ppa,2014,6076020.0,jan,1,7,2014
total_other_govts,2014,44407277.0,jan,1,7,2014
us_government,2014,1705968.0,feb,2,8,2014
commonwealth_of_pa,2014,2040702.0,feb,2,8,2014
other_governmental_units,2014,4500000.0,feb,2,8,2014
pica_transfer,2014,28155674.0,feb,2,8,2014
parking_receipts_ppa,2014,1215114.0,feb,2,8,2014
total_other_govts,2014,37617458.0,feb,2,8,2014
us_government,2014,2199547.0,mar,3,9,2014
commonwealth_of_pa,2014,1692040.0,mar,3,9,2014
other_governmental_units,2014,4504710.0,mar,3,9,2014
pica_transfer,2014,30891612.0,mar,3,9,2014
parking_receipts_ppa,2014,1322721.0,mar,3,9,2014
total_other_govts,2014,40610630.0,mar,3,9,2014
us_government,2014,2225194.0,apr,4,10,2014
commonwealth_of_pa,2014,3306989.0,apr,4,10,2014
other_governmental_units,2014,4641922.0,apr,4,10,2014
pica_transfer,2014,24602837.0,apr,4,10,2014
parking_receipts_ppa,2014,0.0,apr,4,10,2014
