naics_sector,total_entities,total,fiscal_year
All Other Sectors,1592.0,5662624,2006
Unclassified,2222.0,1573830,2006
Motor Vehicle Sales Tax,,14737500,2006
Services other than repair services,3282.0,6574410,2006
Repair services,1258.0,2152131,2006
Rentals except car and truck rentals,519.0,2437671,2006
Car and truck rental,142.0,3319012,2006
Other retail,5441.0,12808121,2006
"Office supplies stores, retail",85.0,1314346,2006
"Department stores, retail",27.0,4668405,2006
"Pharmacies, retail",135.0,2118187,2006
"Liquor and beer stores, retail",111.0,2656264,2006
"Convenience stores, retail",289.0,1536296,2006
"Supermarkets, retail",886.0,2501649,2006
"Home centers, retail",21.0,3640328,2006
"Computer and software stores, retail",125.0,1691849,2006
"Appliance, other electronics, retail",182.0,1911381,2006
Furniture stores retail,205.0,1987973,2006
Total Retail,7507.0,36834801,2006
Wholesale,1995.0,9659286,2006
Telecommunications,219.0,11018957,2006
Public Utilities,25.0,6797808,2006
Manufacturing,1419.0,5449253,2006
Construction,737.0,2191945,2006
Hotels,94.0,6704547,2006
"Restaurants, bars, concessionaires and caterers",3986.0,13979342,2006
"Liquor and beer stores, retail",118.0,2795347,2007
Construction,747.0,2217423,2007
"Restaurants, bars, concessionaires and caterers",3987.0,14705596,2007
Hotels,98.0,7055084,2007
Services other than repair services,3287.0,7212284,2007
Repair services,1234.0,2258781,2007
Rentals except car and truck rentals,517.0,2809679,2007
Car and truck rental,143.0,3659370,2007
Other retail,5326.0,12993997,2007
"Office supplies stores, retail",80.0,1458355,2007
"Department stores, retail",23.0,4619850,2007
"Pharmacies, retail",130.0,2130955,2007
"Convenience stores, retail",317.0,1611185,2007
"Supermarkets, retail",926.0,2561856,2007
"Home centers, retail",22.0,3788219,2007
"Computer and software stores, retail",129.0,2121907,2007
"Appliance, other electronics, retail",185.0,1985264,2007
Furniture stores retail,196.0,2068631,2007
Total Retail,7452.0,38135565,2007
Wholesale,2001.0,10342313,2007
Telecommunications,200.0,11829971,2007
Public Utilities,30.0,7154915,2007
Manufacturing,1434.0,5232133,2007
Motor Vehicle Sales Tax,,15522500,2007
All Other Sectors,1628.0,5996139,2007
Unclassified,2395.0,2077418,2007
Construction,734.0,2617621,2008
Motor Vehicle Sales Tax,,14133833,2008
Unclassified,2628.0,2553912,2008
All Other Sectors,1629.0,6161715,2008
"Restaurants, bars, concessionaires and caterers",3876.0,15272622,2008
Hotels,87.0,7356408,2008
Services other than repair services,3328.0,8064773,2008
Repair services,1219.0,2353849,2008
Rentals except car and truck rentals,498.0,2743962,2008
Car and truck rental,139.0,3852800,2008
Other retail,5285.0,13312423,2008
"Office supplies stores, retail",75.0,1461642,2008
"Department stores, retail",25.0,5024792,2008
"Liquor and beer stores, retail",127.0,2880217,2008
"Convenience stores, retail",343.0,1640702,2008
"Supermarkets, retail",925.0,2615931,2008
"Home centers, retail",27.0,3966638,2008
"Computer and software stores, retail",127.0,1665295,2008
"Appliance, other electronics, retail",173.0,1955382,2008
Furniture stores retail,181.0,2071848,2008
Total Retail,7412.0,38711993,2008
Wholesale,1988.0,11023248,2008
Telecommunications,200.0,12459213,2008
Public Utilities,26.0,6872573,2008
Manufacturing,1454.0,5349771,2008
"Pharmacies, retail",124.0,2117123,2008
"Department stores, retail",25.0,5118072,2009
"Office supplies stores, retail",72.0,1339761,2009
Other retail,5036.0,12545011,2009
"Restaurants, bars, concessionaires and caterers",3754.0,15124380,2009
Repair services,1166.0,2257780,2009
Services other than repair services,3179.0,7006597,2009
Hotels,90.0,6643065,2009
"Pharmacies, retail",127.0,2109596,2009
Rentals except car and truck rentals,467.0,2593370,2009
"Liquor and beer stores, retail",117.0,3007299,2009
Furniture stores retail,179.0,1771447,2009
"Supermarkets, retail",923.0,2683482,2009
"Home centers, retail",29.0,3673516,2009
"Computer and software stores, retail",119.0,1308309,2009
"Appliance, other electronics, retail",170.0,1808465,2009
All Other Sectors,1580.0,6142000,2009
Total Retail,7144.0,37091340,2009
Wholesale,1951.0,9875544,2009
Telecommunications,196.0,12860272,2009
Public Utilities,25.0,7043684,2009
Manufacturing,1452.0,4542686,2009
Construction,730.0,2382068,2009
"Convenience stores, retail",347.0,1726382,2009
Motor Vehicle Sales Tax,,11297000,2009
Car and truck rental,142.0,3539988,2009
Unclassified,2800.0,2364742,2009
Total Retail,7419.0,64991132,2010
Furniture stores retail,182.0,3010184,2010
"Appliance, other electronics, retail",172.0,3122292,2010
"Computer and software stores, retail",118.0,2222927,2010
"Home centers, retail",30.0,6390923,2010
"Supermarkets, retail",966.0,4579733,2010
"Convenience stores, retail",360.0,3432948,2010
"Liquor and beer stores, retail",105.0,5266111,2010
"Pharmacies, retail",139.0,2749274,2010
"Department stores, retail",27.0,9399438,2010
Wholesale,1986.0,14869947,2010
"Office supplies stores, retail",65.0,2135557,2010
Construction,760.0,2953054,2010
Car and truck rental,133.0,5445996,2010
Rentals except car and truck rentals,490.0,3471335,2010
Repair services,1183.0,4081198,2010
Services other than repair services,3272.0,10790009,2010
Hotels,95.0,7480178,2010
"Restaurants, bars, concessionaires and caterers",3864.0,25944562,2010
All Other Sectors,1660.0,9210313,2010
Unclassified,2836.0,3404577,2010
Motor Vehicle Sales Tax,,20242778,2010
Other retail,5255.0,22681743,2010
Telecommunications,209.0,21072437,2010
