date,year,month,fiscal_year,total
2013-07-31,2013,7,2014,1413128.5824666508
2013-08-31,2013,8,2014,3710604.6797583667
2013-09-30,2013,9,2014,1481085.486890378
2013-10-31,2013,10,2014,1042877.137253157
2013-11-30,2013,11,2014,1020726.1242980617
2013-12-31,2013,12,2014,976805.9554235705
2014-01-31,2014,1,2014,1094145.929473802
2014-02-28,2014,2,2014,1247312.6908904857
2014-03-31,2014,3,2014,909301.56313055
2014-04-30,2014,4,2014,3717904.3415665426
2014-05-31,2014,5,2014,805282.0361288456
2014-06-30,2014,6,2014,427640.22543186985
2014-07-31,2014,7,2015,1415191.7955808889
2014-08-31,2014,8,2015,3690230.611651919
2014-09-30,2014,9,2015,1997965.220924405
2014-10-31,2014,10,2015,928476.3844528481
2014-11-30,2014,11,2015,1181188.3706788737
2014-12-31,2014,12,2015,1081877.1138629795
2015-01-31,2015,1,2015,1236084.2534314494
2015-02-28,2015,2,2015,1326148.2320893207
2015-03-31,2015,3,2015,939033.9778107622
2015-04-30,2015,4,2015,4040877.9580923608
2015-05-31,2015,5,2015,862140.2103654162
2015-06-30,2015,6,2015,552369.9409427164
2015-07-31,2015,7,2016,1417074.102728892
2015-08-31,2015,8,2016,3675209.580536901
2015-09-30,2015,9,2016,2513824.4220768716
2015-10-31,2015,10,2016,809857.6466934991
2015-11-30,2015,11,2016,1343168.8893130536
2015-12-31,2015,12,2016,1187022.6607976651
2016-01-31,2016,1,2016,1377630.4878990948
2016-02-29,2016,2,2016,1558823.7619879153
2016-03-31,2016,3,2016,1331125.7124804235
2016-04-30,2016,4,2016,3539597.100036675
2016-05-31,2016,5,2016,1154120.1629631217
2016-06-30,2016,6,2016,645129.6769698233
2016-07-31,2016,7,2017,1881301.664320331
2016-08-31,2016,8,2017,4206805.817788639
2016-09-30,2016,9,2017,1434106.1057715078
2016-10-31,2016,10,2017,1623474.3315778314
2016-11-30,2016,11,2017,1332337.9837821713
2016-12-31,2016,12,2017,1342370.970598619
2017-01-31,2017,1,2017,1422396.7078910996
2017-02-28,2017,2,2017,1638602.3961656454
2017-03-31,2017,3,2017,1353724.8144706327
2017-04-30,2017,4,2017,3864452.293703175
2017-05-31,2017,5,2017,1216328.4054569611
2017-06-30,2017,6,2017,772284.2843908719
2017-07-31,2017,7,2018,1883694.3049714637
2017-08-31,2017,8,2018,4181170.4023921043
2017-09-30,2017,9,2018,1951651.209648207
2017-10-31,2017,10,2018,1513442.8602115964
2017-11-30,2017,11,2018,1491291.8475129427
2017-12-31,2017,12,2018,1447371.678903881
2018-01-31,2018,1,2018,1564711.6533244152
2018-02-28,2018,2,2018,1717878.4150769599
2018-03-31,2018,3,2018,1379867.2876491765
2018-04-30,2018,4,2018,4188470.0663203634
2018-05-31,2018,5,2018,1275847.7611254938
2018-06-30,2018,6,2018,898205.9507455494
2018-07-31,2018,7,2019,1885757.5212240287
2018-08-31,2018,8,2019,4160796.337529145
2018-09-30,2018,9,2019,2468530.9469922767
2018-10-31,2018,10,2019,1399042.1107193828
2018-11-30,2018,11,2019,1651754.0971156983
2018-12-31,2018,12,2019,1552442.8404771818
2019-01-31,2019,1,2019,1706649.980221204
2019-02-28,2019,2,2019,1796713.9590436602
2019-03-31,2019,3,2019,1409599.7049461696
2019-04-30,2019,4,2019,4511443.685462462
2019-05-31,2019,5,2019,1332705.9379771068
2019-06-30,2019,6,2019,1022935.6687899191
2019-07-31,2019,7,2020,1836530.1867236607
2019-08-31,2019,8,2020,4033524.4986164635
2019-09-30,2019,9,2020,2903584.948107743
2019-10-31,2019,10,2020,1245754.6940580988
2019-11-30,2019,11,2020,1764626.0275796647
2019-12-31,2019,12,2020,1612707.6067567852
2020-01-31,2020,1,2020,1798154.5456625281
2020-02-29,2020,2,2020,1974441.8395413002
2020-03-31,2020,3,2020,1752908.9313457091
2020-04-30,2020,4,2020,3901583.8554291413
2020-05-31,2020,5,2020,1580695.9753660467
2020-06-30,2020,6,2020,1085486.8908128557
2020-07-31,2020,7,2021,2288188.3456688784
2020-08-31,2020,8,2021,4550727.262073807
2020-09-30,2020,9,2021,1853101.0320508585
2020-10-31,2020,10,2021,2037341.9330022484
2020-11-30,2020,11,2021,1754088.378741157
2020-12-31,2020,12,2021,1763849.7127456788
2021-01-31,2021,1,2021,1841708.6769289796
2021-02-28,2021,2,2021,2052060.390403382
2021-03-31,2021,3,2021,1774896.1400566353
2021-04-30,2021,4,2021,4217643.284447161
2021-05-31,2021,5,2021,1641219.8692954422
2021-06-30,2021,6,2021,1209198.665110685
2021-07-31,2021,7,2022,2290516.2021438563
2021-08-31,2021,8,2022,4525785.948863038
2021-09-30,2021,9,2022,2356633.1089588967
2021-10-31,2021,10,2022,1930289.667323309
2021-11-30,2021,11,2022,1908738.4142823194
2021-12-31,2021,12,2022,1866007.4259302486
2022-01-31,2022,1,2022,1980170.3087398314
2022-02-28,2022,2,2022,2129189.9345534355
2022-03-31,2022,3,2022,1800330.779760989
2022-04-30,2022,4,2022,4532887.966518785
2022-05-31,2022,5,2022,1699127.680561239
2022-06-30,2022,6,2022,1331710.8812792837
2022-07-31,2022,7,2023,2292523.5534944274
2022-08-31,2022,8,2023,4505963.52979663
2022-09-30,2022,9,2023,2859517.8343444476
2022-10-31,2022,10,2023,1818986.4255621098
2022-11-30,2022,11,2023,2064855.9945488344
2022-12-31,2022,12,2023,1968233.6846473943
2023-01-31,2023,1,2023,2118265.5194039233
2023-02-28,2023,2,2023,2205890.9303299123
2023-03-31,2023,3,2023,1829258.1628830687
2023-04-30,2023,4,2023,4847116.767164213
2023-05-31,2023,5,2023,1754446.3677962043
2023-06-30,2023,6,2023,1453063.4233003382
2023-07-31,2023,7,2024,2294354.8974793567
2023-08-31,2023,8,2024,4491349.209371262
2023-09-30,2023,9,2024,3361409.658865496
2023-10-31,2023,10,2024,1703579.4048123138
2023-11-30,2023,11,2024,2222450.7383344756
2023-12-31,2023,12,2024,2070532.3175116724
2024-01-31,2024,1,2024,2255979.2564183194
2024-02-29,2024,2,2024,2432266.550296666
2024-03-31,2024,3,2024,2210733.642102204
2024-04-30,2024,4,2024,4359408.566183426
2024-05-31,2024,5,2024,2038520.6861194775
2024-06-30,2024,6,2024,1543311.6015688863
2024-07-31,2024,7,2025,2746013.0564233623
2024-08-31,2024,8,2025,5008551.9728287645
2024-09-30,2024,9,2025,2310925.7428047615
2024-10-31,2024,10,2025,2495166.64375855
2024-11-30,2024,11,2025,2211913.089498365
2024-12-31,2024,12,2025,2221674.423500185
2025-01-31,2025,1,2025,2299533.3876854195
2025-02-28,2025,2,2025,2509885.1011587535
2025-03-31,2025,3,2025,2232720.8508125665
2025-04-30,2025,4,2025,4675467.995204453
2025-05-31,2025,5,2025,2099044.580049435
2025-06-30,2025,6,2025,1667023.3758647912
