date,year,month,fiscal_year,total,naics_sector
2013-07-31,2013,7,2014,66211.96191767183,All Other Sectors
2013-08-31,2013,8,2014,66391.07379685753,All Other Sectors
2013-09-30,2013,9,2014,249978.25190533526,All Other Sectors
2013-10-31,2013,10,2014,270982.8704702464,All Other Sectors
2013-12-31,2013,12,2014,220537.66575137092,All Other Sectors
2014-01-31,2014,1,2014,455509.6060548116,All Other Sectors
2014-02-28,2014,2,2014,94873.09530715045,All Other Sectors
2014-03-31,2014,3,2014,863495.6237036223,All Other Sectors
2014-04-30,2014,4,2014,5985025.777485177,All Other Sectors
2014-05-31,2014,5,2014,1306558.986856197,All Other Sectors
2014-06-30,2014,6,2014,231431.97589998203,All Other Sectors
2014-07-31,2014,7,2015,108806.68114928175,All Other Sectors
2014-08-31,2014,8,2015,92684.72708934936,All Other Sectors
2014-09-30,2014,9,2015,319465.42029278295,All Other Sectors
2014-10-31,2014,10,2015,315979.0357635488,All Other Sectors
2014-11-30,2014,11,2015,49743.169441905164,All Other Sectors
2014-12-31,2014,12,2015,262319.7482061131,All Other Sectors
2015-01-31,2015,1,2015,372595.38261464366,All Other Sectors
2015-02-28,2015,2,2015,108231.1000841793,All Other Sectors
2015-03-31,2015,3,2015,1138766.4327287117,All Other Sectors
2015-04-30,2015,4,2015,7148179.277462883,All Other Sectors
2015-05-31,2015,5,2015,1072153.3219901398,All Other Sectors
2015-07-31,2015,7,2016,159293.82919165186,All Other Sectors
2015-08-31,2015,8,2016,121445.18231413007,All Other Sectors
2015-09-30,2015,9,2016,387579.605904802,All Other Sectors
2015-10-31,2015,10,2016,350889.1565388846,All Other Sectors
2015-11-30,2015,11,2016,96603.52089600556,All Other Sectors
2015-12-31,2015,12,2016,291809.7029110347,All Other Sectors
2016-01-31,2016,1,2016,234871.1131730356,All Other Sectors
2016-02-29,2016,2,2016,141694.95269121055,All Other Sectors
2016-03-31,2016,3,2016,799900.5839580881,All Other Sectors
2016-04-30,2016,4,2016,6898739.342301051,All Other Sectors
2016-05-31,2016,5,2016,2521129.1393248644,All Other Sectors
2016-07-31,2016,7,2017,58507.216206004545,All Other Sectors
2016-08-31,2016,8,2017,76776.00793329423,All Other Sectors
2016-09-30,2016,9,2017,318196.5324060427,All Other Sectors
2016-10-31,2016,10,2017,376016.55672793556,All Other Sectors
2016-11-30,2016,11,2017,-31752.352874384924,All Other Sectors
2016-12-31,2016,12,2017,289572.5284403406,All Other Sectors
2017-01-31,2017,1,2017,791745.6441677349,All Other Sectors
2017-02-28,2017,2,2017,134269.32975224595,All Other Sectors
2017-03-31,2017,3,2017,984349.1737873862,All Other Sectors
2017-04-30,2017,4,2017,7513270.286781134,All Other Sectors
2017-05-31,2017,5,2017,2140122.960047117,All Other Sectors
2017-07-31,2017,7,2018,95478.96838846331,All Other Sectors
2017-08-31,2017,8,2018,93626.82681289327,All Other Sectors
2017-09-30,2017,9,2018,345067.353918858,All Other Sectors
2017-10-31,2017,10,2018,365951.5943320288,All Other Sectors
2017-11-30,2017,11,2018,13256.439302131595,All Other Sectors
2017-12-31,2017,12,2018,285399.5955982291,All Other Sectors
2018-01-31,2018,1,2018,576988.6085119691,All Other Sectors
2018-03-31,2018,3,2018,1050580.4750504657,All Other Sectors
2018-04-30,2018,4,2018,7135509.080428729,All Other Sectors
2018-05-31,2018,5,2018,1617019.2556852056,All Other Sectors
2018-06-30,2018,6,2018,296321.80666398676,All Other Sectors
2018-07-31,2018,7,2019,143353.22823859018,All Other Sectors
2018-08-31,2018,8,2019,125983.09236480937,All Other Sectors
2018-09-30,2018,9,2019,446821.51203811157,All Other Sectors
2018-10-31,2018,10,2019,454484.1953557854,All Other Sectors
2018-11-30,2018,11,2019,73410.45495844178,All Other Sectors
2018-12-31,2018,12,2019,397032.97535037744,All Other Sectors
2019-01-31,2019,1,2019,577663.0351400356,All Other Sectors
2019-02-28,2019,2,2019,171324.8593154527,All Other Sectors
2019-03-31,2019,3,2019,1842755.8842119498,All Other Sectors
2019-04-30,2019,4,2019,11845341.225476984,All Other Sectors
2019-05-31,2019,5,2019,1819085.6433540878,All Other Sectors
2019-07-31,2019,7,2020,234852.39661938872,All Other Sectors
2019-08-31,2019,8,2020,182910.9943526794,All Other Sectors
2019-09-30,2019,9,2020,595482.3010806497,All Other Sectors
2019-10-31,2019,10,2020,550025.9392565497,All Other Sectors
2019-11-30,2019,11,2020,154293.6710151781,All Other Sectors
2019-12-31,2019,12,2020,476093.8316473919,All Other Sectors
2020-01-31,2020,1,2020,391184.1356546391,All Other Sectors
2020-02-29,2020,2,2020,240477.48615495017,All Other Sectors
2020-03-31,2020,3,2020,1384343.0979333345,All Other Sectors
2020-04-30,2020,4,2020,12160812.0405799,All Other Sectors
2020-05-31,2020,5,2020,4527223.389368542,All Other Sectors
2020-06-30,2020,6,2020,112784.56703327732,All Other Sectors
2020-07-31,2020,7,2021,101766.4317446459,All Other Sectors
2020-08-31,2020,8,2021,135856.1516531173,All Other Sectors
2020-09-30,2020,9,2021,572249.4472191561,All Other Sectors
2020-10-31,2020,10,2021,687418.5663254574,All Other Sectors
2020-11-30,2020,11,2021,-58954.57288823281,All Other Sectors
2020-12-31,2020,12,2021,546115.8121636,All Other Sectors
2021-01-31,2021,1,2021,1516260.3389224273,All Other Sectors
2021-02-28,2021,2,2021,260643.66610592214,All Other Sectors
2021-03-31,2021,3,2021,1939204.3668689076,All Other Sectors
2021-04-30,2021,4,2021,15009396.087373113,All Other Sectors
2021-05-31,2021,5,2021,4382798.724626568,All Other Sectors
2021-06-30,2021,6,2021,363180.1985124271,All Other Sectors
2021-07-31,2021,7,2022,190834.9495666091,All Other Sectors
2021-08-31,2021,8,2022,191682.09801910078,All Other Sectors
2021-09-30,2021,9,2022,722898.6197983343,All Other Sectors
2021-10-31,2021,10,2022,784912.4433391428,All Other Sectors
2021-11-30,2021,11,2022,29082.02856529111,All Other Sectors
2021-12-31,2021,12,2022,640744.6189158225,All Other Sectors
2022-01-31,2022,1,2022,1325384.6697973707,All Other Sectors
2022-02-28,2022,2,2022,276408.3329647252,All Other Sectors
2022-03-31,2022,3,2022,2519270.884935586,All Other Sectors
2022-04-30,2022,4,2022,17484417.7021955,All Other Sectors
2022-05-31,2022,5,2022,3821968.497097921,All Other Sectors
2022-06-30,2022,6,2022,677829.6867100771,All Other Sectors
2022-07-31,2022,7,2023,296728.07413286093,All Other Sectors
2022-08-31,2022,8,2023,253068.67775480374,All Other Sectors
2022-09-30,2022,9,2023,873274.3312866022,All Other Sectors
2022-10-31,2022,10,2023,864738.6260883481,All Other Sectors
2022-11-30,2022,11,2023,136279.72613862294,All Other Sectors
2022-12-31,2022,12,2023,719454.4317133375,All Other Sectors
2023-01-31,2023,1,2023,1022991.7837711875,All Other Sectors
2023-02-28,2023,2,2023,297451.4717740744,All Other Sectors
2023-03-31,2023,3,2023,3133017.4494493194,All Other Sectors
2023-04-30,2023,4,2023,19752814.390304722,All Other Sectors
2023-05-31,2023,5,2023,2975903.133131843,All Other Sectors
2023-06-30,2023,6,2023,1049708.2116747526,All Other Sectors
2023-07-31,2023,7,2024,414484.81032186974,All Other Sectors
2023-08-31,2023,8,2024,317419.39549432544,All Other Sectors
2023-09-30,2023,9,2024,1017321.6561707839,All Other Sectors
2023-10-31,2023,10,2024,925151.4127684261,All Other Sectors
2023-11-30,2023,11,2024,255789.65195095292,All Other Sectors
2023-12-31,2023,12,2024,777970.3579016624,All Other Sectors
2024-01-31,2024,1,2024,630402.0122756914,All Other Sectors
2024-02-29,2024,2,2024,382703.842632987,All Other Sectors
2024-03-31,2024,3,2024,2174740.8566633575,All Other Sectors
2024-04-30,2024,4,2024,18874207.32384628,All Other Sectors
2024-05-31,2024,5,2024,6942035.752511861,All Other Sectors
2024-06-30,2024,6,2024,170997.4365242282,All Other Sectors
2024-07-31,2024,7,2025,150875.8428634903,All Other Sectors
2024-08-31,2024,8,2025,199222.05708045003,All Other Sectors
2024-09-30,2024,9,2025,830583.1234387018,All Other Sectors
2024-10-31,2024,10,2025,987531.1675300377,All Other Sectors
2024-11-30,2024,11,2025,-83878.96047952485,All Other Sectors
2024-12-31,2024,12,2025,769510.6499152752,All Other Sectors
2025-01-31,2025,1,2025,2116519.842989857,All Other Sectors
2025-02-28,2025,2,2025,360837.4478699587,All Other Sectors
2025-03-31,2025,3,2025,2660897.4847708396,All Other Sectors
2025-04-30,2025,4,2025,20423785.859558444,All Other Sectors
2025-05-31,2025,5,2025,5913909.686070262,All Other Sectors
2025-06-30,2025,6,2025,486192.74477824196,All Other Sectors
2013-07-31,2013,7,2014,14723.654873178835,Banking and Related Activities
2013-08-31,2013,8,2014,13051.041932641852,Banking and Related Activities
2013-09-30,2013,9,2014,63004.651110223895,Banking and Related Activities
2013-10-31,2013,10,2014,68341.40039548598,Banking and Related Activities
2013-12-31,2013,12,2014,63077.03966571633,Banking and Related Activities
2014-01-31,2014,1,2014,144152.18619365094,Banking and Related Activities
2014-02-28,2014,2,2014,24123.581480942852,Banking and Related Activities
2014-03-31,2014,3,2014,268085.1423544597,Banking and Related Activities
2014-04-30,2014,4,2014,1669402.3461438748,Banking and Related Activities
2014-05-31,2014,5,2014,381859.69545630564,Banking and Related Activities
2014-06-30,2014,6,2014,74144.21397071655,Banking and Related Activities
2014-07-31,2014,7,2015,38447.03207303218,Banking and Related Activities
2014-08-31,2014,8,2015,33572.23723282815,Banking and Related Activities
2014-09-30,2014,9,2015,117439.84888558794,Banking and Related Activities
2014-10-31,2014,10,2015,113596.96954275724,Banking and Related Activities
2014-11-30,2014,11,2015,20705.1164046721,Banking and Related Activities
2014-12-31,2014,12,2015,95955.98199078362,Banking and Related Activities
2015-01-31,2015,1,2015,140695.5636918379,Banking and Related Activities
2015-02-28,2015,2,2015,9377.250755900608,Banking and Related Activities
2015-03-31,2015,3,2015,374007.00281475065,Banking and Related Activities
2015-04-30,2015,4,2015,2417524.6608156255,Banking and Related Activities
2015-05-31,2015,5,2015,397623.44199631456,Banking and Related Activities
2015-07-31,2015,7,2016,67305.38530847151,Banking and Related Activities
2015-08-31,2015,8,2016,55872.55334508135,Banking and Related Activities
2015-09-30,2015,9,2016,158387.8567719299,Banking and Related Activities
2015-10-31,2015,10,2016,137192.1689540286,Banking and Related Activities
2015-11-30,2015,11,2016,30495.45199070612,Banking and Related Activities
2015-12-31,2015,12,2016,101874.34242769194,Banking and Related Activities
2016-01-31,2016,1,2016,76045.77981823651,Banking and Related Activities
2016-02-29,2016,2,2016,84107.6741922089,Banking and Related Activities
2016-03-31,2016,3,2016,346614.46395852935,Banking and Related Activities
2016-04-30,2016,4,2016,1695691.4930931171,Banking and Related Activities
2016-05-31,2016,5,2016,612838.8184254866,Banking and Related Activities
2016-07-31,2016,7,2017,8873.757375308867,Banking and Related Activities
2016-08-31,2016,8,2017,6726.238313746044,Banking and Related Activities
2016-09-30,2016,9,2017,70643.28325288555,Banking and Related Activities
2016-10-31,2016,10,2017,84664.8832884469,Banking and Related Activities
2016-11-30,2016,11,2017,1602.5727615296223,Banking and Related Activities
2016-12-31,2016,12,2017,76661.42543569443,Banking and Related Activities
2017-01-31,2017,1,2017,243583.58593761464,Banking and Related Activities
2017-02-28,2017,2,2017,54533.03036283115,Banking and Related Activities
2017-03-31,2017,3,2017,333766.1169286201,Banking and Related Activities
2017-04-30,2017,4,2017,1859868.710939078,Banking and Related Activities
2017-05-31,2017,5,2017,540122.2111113279,Banking and Related Activities
2017-07-31,2017,7,2018,25767.386650504195,Banking and Related Activities
2017-08-31,2017,8,2018,22135.4003839656,Banking and Related Activities
2017-09-30,2017,9,2018,103833.78813544882,Banking and Related Activities
2017-10-31,2017,10,2018,109499.3882776362,Banking and Related Activities
2017-11-30,2017,11,2018,12491.602048047154,Banking and Related Activities
2017-12-31,2017,12,2018,96003.92956474607,Banking and Related Activities
2018-01-31,2018,1,2018,214137.6358199503,Banking and Related Activities
2018-03-31,2018,3,2018,381393.94337528234,Banking and Related Activities
2018-04-30,2018,4,2018,2326547.555696283,Banking and Related Activities
2018-05-31,2018,5,2018,521422.8231119436,Banking and Related Activities
2018-06-30,2018,6,2018,99341.78953917908,Banking and Related Activities
2018-07-31,2018,7,2019,50325.63377954891,Banking and Related Activities
2018-08-31,2018,8,2019,43157.54922843752,Banking and Related Activities
2018-09-30,2018,9,2019,148450.4409215672,Banking and Related Activities
2018-10-31,2018,10,2019,141207.19285313433,Banking and Related Activities
2018-11-30,2018,11,2019,25338.4676515626,Banking and Related Activities
2018-12-31,2018,12,2019,115613.49041592087,Banking and Related Activities
2019-01-31,2019,1,2019,166989.14001058027,Banking and Related Activities
2019-02-28,2019,2,2019,10985.332897822114,Banking and Related Activities
2019-03-31,2019,3,2019,432057.0463610261,Banking and Related Activities
2019-04-30,2019,4,2019,2836382.2616263726,Banking and Related Activities
2019-05-31,2019,5,2019,474021.09664646845,Banking and Related Activities
2019-07-31,2019,7,2020,68819.05027077587,Banking and Related Activities
2019-08-31,2019,8,2020,58042.01406017742,Banking and Related Activities
2019-09-30,2019,9,2020,167073.8870583954,Banking and Related Activities
2019-10-31,2019,10,2020,147014.50171706843,Banking and Related Activities
2019-11-30,2019,11,2020,33179.575257829136,Banking and Related Activities
2019-12-31,2019,12,2020,112591.96970238423,Banking and Related Activities
2020-01-31,2020,1,2020,85370.33012758502,Banking and Related Activities
2020-02-29,2020,2,2020,95808.39164052582,Banking and Related Activities
2020-03-31,2020,3,2020,401025.7932329602,Banking and Related Activities
2020-04-30,2020,4,2020,1991580.5235743884,Banking and Related Activities
2020-05-31,2020,5,2020,731006.4184078635,Banking and Related Activities
2020-06-30,2020,6,2020,323539.4392554917,Banking and Related Activities
2020-07-31,2020,7,2021,10205.476979192043,Banking and Related Activities
2020-08-31,2020,8,2021,7855.095998131028,Banking and Related Activities
2020-09-30,2020,9,2021,83729.42844065843,Banking and Related Activities
2020-10-31,2020,10,2021,101888.08162977007,Banking and Related Activities
2020-11-30,2020,11,2021,1957.1662827829425,Banking and Related Activities
2020-12-31,2020,12,2021,95056.23077992321,Banking and Related Activities
2021-01-31,2021,1,2021,300531.00325148576,Banking and Related Activities
2021-02-28,2021,2,2021,66986.43497520669,Banking and Related Activities
2021-03-31,2021,3,2021,407989.6971185608,Banking and Related Activities
2021-04-30,2021,4,2021,2262971.8539445726,Banking and Related Activities
2021-05-31,2021,5,2021,654107.94216314,Banking and Related Activities
2021-06-30,2021,6,2021,217830.38681112253,Banking and Related Activities
2021-07-31,2021,7,2022,28768.27473965235,Banking and Related Activities
2021-08-31,2021,8,2022,24604.26601183875,Banking and Related Activities
2021-09-30,2021,9,2022,114929.85709847967,Banking and Related Activities
2021-10-31,2021,10,2022,120684.70804725612,Banking and Related Activities
2021-11-30,2021,11,2022,13711.391598994567,Banking and Related Activities
2021-12-31,2021,12,2022,104942.2989497706,Banking and Related Activities
2022-01-31,2022,1,2022,233123.93614958684,Banking and Related Activities
2022-02-28,2022,2,2022,38065.22963011088,Banking and Related Activities
2022-03-31,2022,3,2022,412091.61269470805,Banking and Related Activities
2022-04-30,2022,4,2022,2504443.573446558,Banking and Related Activities
2022-05-31,2022,5,2022,559171.1087603687,Banking and Related Activities
2022-06-30,2022,6,2022,106150.83043618576,Banking and Related Activities
2022-07-31,2022,7,2023,50051.36383394127,Banking and Related Activities
2022-08-31,2022,8,2023,42768.56475460203,Banking and Related Activities
2022-09-30,2022,9,2023,146611.15474627988,Banking and Related Activities
2022-10-31,2022,10,2023,138975.0417295795,Banking and Related Activities
2022-11-30,2022,11,2023,24855.82258252161,Banking and Related Activities
2022-12-31,2022,12,2023,113031.96954894441,Banking and Related Activities
2023-01-31,2023,1,2023,162723.65550355308,Banking and Related Activities
2023-02-28,2023,2,2023,10673.441741570907,Banking and Related Activities
2023-03-31,2023,3,2023,418453.5974608797,Banking and Related Activities
2023-04-30,2023,4,2023,2738750.270050915,Banking and Related Activities
2023-05-31,2023,5,2023,456294.0981485857,Banking and Related Activities
2023-06-30,2023,6,2023,-6232.29016174431,Banking and Related Activities
2023-07-31,2023,7,2024,73598.44774360771,Banking and Related Activities
2023-08-31,2023,8,2024,61890.666422046146,Banking and Related Activities
2023-09-30,2023,9,2024,177653.79290602024,Banking and Related Activities
2023-10-31,2023,10,2024,155879.223184694,Banking and Related Activities
2023-11-30,2023,11,2024,35084.8302048626,Banking and Related Activities
2023-12-31,2023,12,2024,118728.71001177175,Banking and Related Activities
2024-01-31,2024,1,2024,89778.74486491847,Banking and Related Activities
2024-02-29,2024,2,2024,100503.44111007608,Banking and Related Activities
2024-03-31,2024,3,2024,419568.0934066227,Banking and Related Activities
2024-04-30,2024,4,2024,2078424.3155890505,Banking and Related Activities
2024-05-31,2024,5,2024,760928.5193009528,Banking and Related Activities
