date,year,month,fiscal_year,total
2013-07-31,2013,7,2014,323849.0700457002
2013-08-31,2013,8,2014,328155.12270304054
2013-09-30,2013,9,2014,496798.92032278277
2013-10-31,2013,10,2014,712961.6409864906
2013-11-30,2013,11,2014,243537.1675004328
2013-12-31,2013,12,2014,807115.2070554938
2014-01-31,2014,1,2014,850608.353997513
2014-02-28,2014,2,2014,386329.3974095335
2014-03-31,2014,3,2014,2069323.66318919
2014-04-30,2014,4,2014,13376148.589623982
2014-05-31,2014,5,2014,4977403.580398386
2014-06-30,2014,6,2014,2120966.307388999
2014-08-31,2014,8,2015,529221.2030834997
2014-09-30,2014,9,2015,903580.0512026369
2014-10-31,2014,10,2015,1255109.9730039027
2014-11-30,2014,11,2015,450542.8978321943
2014-12-31,2014,12,2015,1076796.7989750027
2015-01-31,2015,1,2015,1009481.3416874676
2015-02-28,2015,2,2015,563965.3965184325
2015-03-31,2015,3,2015,3141551.54666858
2015-04-30,2015,4,2015,19682069.153811306
2015-05-31,2015,5,2015,7193314.612193171
2015-06-30,2015,6,2015,2177222.8491354636
2015-07-31,2015,7,2016,1314831.5797435467
2015-08-31,2015,8,2016,722580.2362689691
2015-09-30,2015,9,2016,1378770.5956509153
2015-10-31,2015,10,2016,1867995.5756115764
2015-11-30,2015,11,2016,691112.8675683003
2015-12-31,2015,12,2016,1215345.5556317838
2016-01-31,2016,1,2016,976781.3498652955
2016-02-29,2016,2,2016,797163.7216176719
2016-03-31,2016,3,2016,3616523.917637879
2016-04-30,2016,4,2016,23658094.940906756
2016-05-31,2016,5,2016,8672675.202919312
2016-06-30,2016,6,2016,5818662.162086918
2016-07-31,2016,7,2017,612764.5317307189
2016-08-31,2016,8,2017,936205.8562717619
2016-09-30,2016,9,2017,1166231.6067881326
2016-10-31,2016,10,2017,1640988.2644173892
2016-11-30,2016,11,2017,487144.2138416747
2017-01-31,2017,1,2017,2473861.4003544985
2017-02-28,2017,2,2017,934763.3257634796
2017-03-31,2017,3,2017,4521161.472024475
2017-04-30,2017,4,2017,28757443.66138007
2017-05-31,2017,5,2017,10383974.040402636
2017-07-31,2017,7,2018,1081088.8078530582
2017-08-31,2017,8,2018,1040919.9445609123
2017-09-30,2017,9,2018,1504005.6472933143
2017-10-31,2017,10,2018,2062067.227319241
2017-11-30,2017,11,2018,675437.7945690111
2017-12-31,2017,12,2018,2148072.375463201
2018-01-31,2018,1,2018,2176644.670919963
2018-02-28,2018,2,2018,955614.3247471858
2018-03-31,2018,3,2018,4937730.80424126
2018-04-30,2018,4,2018,30870452.612179488
2018-05-31,2018,5,2018,11151907.300307691
2018-06-30,2018,6,2018,4623370.075863579
2018-07-31,2018,7,2019,1566641.6143713805
2018-08-31,2018,8,2019,1093801.0835298302
2018-09-30,2018,9,2019,1822814.211639822
2018-10-31,2018,10,2019,2471690.4798816936
2018-11-30,2018,11,2019,867555.0641159078
2018-12-31,2018,12,2019,2027616.5603705219
