date,year,month,fiscal_year,total
2013-07-31,2013,7,2014,18004293.783666357
2013-08-31,2013,8,2014,14366648.369139004
2013-09-30,2013,9,2014,11787563.239228236
2013-10-31,2013,10,2014,14367564.551654058
2013-11-30,2013,11,2014,12390971.488978678
2013-12-31,2013,12,2014,12813182.739761759
2014-01-31,2014,1,2014,14419201.787523247
2014-02-28,2014,2,2014,10153217.193072008
2014-03-31,2014,3,2014,13687192.617412802
2014-04-30,2014,4,2014,16496396.444860186
2014-05-31,2014,5,2014,16131789.17871302
2014-06-30,2014,6,2014,16924342.959843602
2014-07-31,2014,7,2015,19678051.883001238
2014-08-31,2014,8,2015,17020179.98028372
2014-09-30,2014,9,2015,13342523.889345985
2014-10-31,2014,10,2015,17779758.899902713
2014-11-30,2014,11,2015,15116629.630347352
2014-12-31,2014,12,2015,15776577.647783555
2015-01-31,2015,1,2015,15823269.732527178
2015-02-28,2015,2,2015,11632692.876319475
2015-03-31,2015,3,2015,13055564.620385204
2015-04-30,2015,4,2015,23327428.172875937
2015-05-31,2015,5,2015,18857133.73068872
2015-06-30,2015,6,2015,19231539.355638105
2015-07-31,2015,7,2016,20858299.090105053
2015-08-31,2015,8,2016,19724035.171738144
2015-09-30,2015,9,2016,14773431.498948388
2015-10-31,2015,10,2016,21488430.99361679
2015-11-30,2015,11,2016,18010841.945190854
2015-12-31,2015,12,2016,18932278.252328467
2016-01-31,2016,1,2016,16910572.57335326
2016-02-29,2016,2,2016,13898845.039347917
2016-03-31,2016,3,2016,24835354.184334513
2016-04-30,2016,4,2016,12358092.335755764
2016-05-31,2016,5,2016,20606837.816997703
2016-06-30,2016,6,2016,22777621.419558313
2016-07-31,2016,7,2017,30379165.443838254
2016-08-31,2016,8,2017,22349705.500446968
2016-09-30,2016,9,2017,19040871.211913064
2016-10-31,2016,10,2017,21030448.97865641
2016-11-30,2016,11,2017,18259660.30551002
2016-12-31,2016,12,2017,18521925.10613668
2017-01-31,2017,1,2017,23229543.650769267
2017-02-28,2017,2,2017,15645358.746866243
2017-03-31,2017,3,2017,24464200.787169173
2017-04-30,2017,4,2017,19420751.547212478
2017-05-31,2017,5,2017,23846456.881753452
2017-06-30,2017,6,2017,25603251.67461322
2017-07-31,2017,7,2018,32109629.31778883
2017-08-31,2017,8,2018,25458611.874805957
2017-09-30,2017,9,2018,20762318.95363359
2017-10-31,2017,10,2018,25152546.878720965
2017-11-30,2017,11,2018,21567273.073014088
2017-12-31,2017,12,2018,22172399.337677013
2018-01-31,2018,1,2018,24809596.77697233
2018-02-28,2018,2,2018,17381702.38229769
2018-03-31,2018,3,2018,23303942.727510836
2018-04-30,2018,4,2018,27941933.056780916
2018-05-31,2018,5,2018,27181703.528687853
2018-06-30,2018,6,2018,28376072.73118914
2018-07-31,2018,7,2019,34712878.536385074
2018-08-31,2018,8,2019,29877138.622384917
2018-09-30,2018,9,2019,23312561.259428486
2018-10-31,2018,10,2019,30919299.073257975
2018-11-30,2018,11,2019,26170743.096281566
2018-12-31,2018,12,2019,27189798.06667295
2019-01-31,2019,1,2019,27149417.164429624
2019-02-28,2019,2,2019,19880845.583582856
2019-03-31,2019,3,2019,22217356.24193873
2019-04-30,2019,4,2019,39536632.77813911
2019-05-31,2019,5,2019,31828777.76131208
2019-06-30,2019,6,2019,32334013.568228614
2019-07-31,2019,7,2020,31967346.005778253
2019-08-31,2019,8,2020,30111491.73203155
2019-09-30,2019,9,2020,22470398.240191154
2019-10-31,2019,10,2020,32561400.341972306
2019-11-30,2019,11,2020,27194552.69296371
2019-12-31,2019,12,2020,28482410.224331085
2020-01-31,2020,1,2020,25350464.7493014
2020-02-29,2020,2,2020,20767506.318261966
2020-03-31,2020,3,2020,36981241.04918856
2020-04-30,2020,4,2020,18341748.52445654
2020-05-31,2020,5,2020,30482885.942241404
2020-06-30,2020,6,2020,33587554.179282054
2020-07-31,2020,7,2021,40289801.88315271
2020-08-31,2020,8,2021,29547258.54075422
2020-09-30,2020,9,2021,25097136.489517335
2020-10-31,2020,10,2021,27634779.112139497
2020-11-30,2020,11,2021,23923992.838396218
2020-12-31,2020,12,2021,24195749.948141474
2021-01-31,2021,1,2021,30257020.902462944
2021-02-28,2021,2,2021,20325602.65277119
2021-03-31,2021,3,2021,31692696.124597255
2021-04-30,2021,4,2021,25091252.230250057
2021-05-31,2021,5,2021,30724700.32358692
2021-06-30,2021,6,2021,32901998.954230122
2021-07-31,2021,7,2022,39135462.90951687
2021-08-31,2021,8,2022,30947863.03314655
2021-09-30,2021,9,2022,25175932.319999628
2021-10-31,2021,10,2022,30421893.918342125
2021-11-30,2021,11,2022,26022276.042227063
2021-12-31,2021,12,2022,26686341.96842228
2022-01-31,2022,1,2022,29787786.4999505
2022-02-28,2022,2,2022,20824208.390502267
2022-03-31,2022,3,2022,27853298.133965064
2022-04-30,2022,4,2022,33321292.0195761
2022-05-31,2022,5,2022,32340116.992023654
2022-06-30,2022,6,2022,33687002.34732783
2022-07-31,2022,7,2023,37748958.51389459
2022-08-31,2022,8,2023,32418555.01116887
2022-09-30,2022,9,2023,25242272.560987595
2022-10-31,2022,10,2023,33406738.14197335
2022-11-30,2022,11,2023,28218156.177867297
2022-12-31,2022,12,2023,29255611.06045055
2023-01-31,2023,1,2023,29151872.97222809
2023-02-28,2023,2,2023,21307899.1740413
2023-03-31,2023,3,2023,23764209.51887898
2023-04-30,2023,4,2023,42208023.62245305
2023-05-31,2023,5,2023,33912737.25044815
2023-06-30,2023,6,2023,34386505.11292821
2023-07-31,2023,7,2024,36713727.123068094
2023-08-31,2023,8,2024,34517059.9515481
2023-09-30,2023,9,2024,25711552.23878806
2023-10-31,2023,10,2024,37189514.778227076
2023-11-30,2023,11,2024,31005205.753735714
2023-12-31,2023,12,2024,32415212.85882913
2024-01-31,2024,1,2024,28799646.695647273
2024-02-29,2024,2,2024,23554451.403062847
2024-03-31,2024,3,2024,41871391.34913832
2024-04-30,2024,4,2024,20732749.373360798
2024-05-31,2024,5,2024,34398328.1226263
2024-06-30,2024,6,2024,37840496.416629076
2024-07-31,2024,7,2025,43648466.1576276
2024-08-31,2024,8,2025,31958165.13679753
2024-09-30,2024,9,2025,27102567.818897843
2024-10-31,2024,10,2025,29795409.09583934
2024-11-30,2024,11,2025,25755153.42110411
2024-12-31,2024,12,2025,26007127.869520955
2025-01-31,2025,1,2025,32472078.744446035
2025-02-28,2025,2,2025,21783584.426563676
2025-03-31,2025,3,2025,33914871.98627296
2025-04-30,2025,4,2025,26811838.77354846
2025-05-31,2025,5,2025,32783209.210672162
2025-06-30,2025,6,2025,35056868.89800218
