date,year,month,fiscal_year,total
2017-02-28,2017,2,2017,5762133.289056645
2017-03-31,2017,3,2017,5859987.665552411
2017-04-30,2017,4,2017,6989128.334866883
2017-05-31,2017,5,2017,6323577.9015157325
2017-06-30,2017,6,2017,6952124.408742239
2017-07-31,2017,7,2018,6996478.196808374
2017-08-31,2017,8,2018,6484522.5480892295
2017-09-30,2017,9,2018,6722008.58406446
2017-10-31,2017,10,2018,7293355.342270471
2017-11-30,2017,11,2018,6645708.588208767
2017-12-31,2017,12,2018,5749549.598346532
2018-01-31,2018,1,2018,6506068.792249998
2018-02-28,2018,2,2018,5813101.378077195
2018-03-31,2018,3,2018,5808161.158667187
2018-04-30,2018,4,2018,6603178.233938928
2018-05-31,2018,5,2018,6583032.426264928
2018-06-30,2018,6,2018,6750714.30710722
2018-07-31,2018,7,2019,6938281.327601458
2018-08-31,2018,8,2019,6546730.734753929
2018-09-30,2018,9,2019,6695582.782271478
2018-10-31,2018,10,2019,7295261.508616423
2018-11-30,2018,11,2019,6052716.530458775
2018-12-31,2018,12,2019,6202437.523467048
2019-01-31,2019,1,2019,6352155.30745691
2019-02-28,2019,2,2019,5861602.212083644
2019-03-31,2019,3,2019,5752045.841213572
2019-04-30,2019,4,2019,6226935.487402769
2019-05-31,2019,5,2019,6841006.332620131
2019-06-30,2019,6,2019,6550258.618902901
2019-07-31,2019,7,2020,6807899.084909152
2019-08-31,2019,8,2020,6535514.002493128
2019-09-30,2019,9,2020,6593310.519203256
2019-10-31,2019,10,2020,7209897.239441862
2019-11-30,2019,11,2020,5415601.670301773
2019-12-31,2019,12,2020,6580904.039896538
2020-01-31,2020,1,2020,6128762.460507208
2020-02-29,2020,2,2020,5460167.544373754
2020-03-31,2020,3,2020,5650031.929162307
2020-04-30,2020,4,2020,7062873.874174796
2020-05-31,2020,5,2020,5798579.634114455
2020-06-30,2020,6,2020,6842458.0014217645
2020-07-31,2020,7,2021,6763711.774448637
2020-08-31,2020,8,2021,6153691.440253273
2020-09-30,2020,9,2021,6464365.322127377
2020-10-31,2020,10,2021,6980094.636652689
2020-11-30,2020,11,2021,6951876.211929005
2020-12-31,2020,12,2021,5074892.07796465
2021-01-31,2021,1,2021,6380824.980194483
2021-02-28,2021,2,2021,5521718.796297269
2021-03-31,2021,3,2021,5615415.321012599
2021-04-30,2021,4,2021,6697343.442846386
2021-05-31,2021,5,2021,6059497.451811412
2021-06-30,2021,6,2021,6661708.54446221
2021-07-31,2021,7,2022,6693262.235932917
2021-08-31,2021,8,2022,6203410.407180398
2021-09-30,2021,9,2022,6430517.2409259835
2021-10-31,2021,10,2022,6976994.092543796
2021-11-30,2021,11,2022,6357356.912087321
2021-12-31,2021,12,2022,5500007.048219191
2022-01-31,2022,1,2022,6223607.345729181
2022-02-28,2022,2,2022,5560656.97972791
2022-03-31,2022,3,2022,5555844.9546461385
2022-04-30,2022,4,2022,6316230.009534987
2022-05-31,2022,5,2022,6296861.439507008
2022-06-30,2022,6,2022,6457139.933965164
2022-07-31,2022,7,2023,6625989.881311321
2022-08-31,2022,8,2023,6251929.467394291
2022-09-30,2022,9,2023,6393946.36704294
2022-10-31,2022,10,2023,6966459.519245392
2022-11-30,2022,11,2023,5779786.44155309
2022-12-31,2022,12,2023,5922617.942163071
2023-01-31,2023,1,2023,6065438.34017589
2023-02-28,2023,2,2023,5596908.011932741
2023-03-31,2023,3,2023,5492164.432501578
2023-04-30,2023,4,2023,5945457.153176706
2023-05-31,2023,5,2023,6531609.55399032
2023-06-30,2023,6,2023,6253862.603512663
2023-07-31,2023,7,2024,6540506.43132955
2023-08-31,2023,8,2024,6278664.932102347
2023-09-30,2023,9,2024,6334038.636052074
2023-10-31,2023,10,2024,6926207.729537549
2023-11-30,2023,11,2024,5202388.037977174
2023-12-31,2023,12,2024,6321655.363725599
2024-01-31,2024,1,2024,5887179.261255338
2024-02-29,2024,2,2024,5244816.942805295
2024-03-31,2024,3,2024,5427057.8439486185
2024-04-30,2024,4,2024,6783979.329713948
2024-05-31,2024,5,2024,5569469.66347486
2024-06-30,2024,6,2024,6571943.844937632
2024-07-31,2024,7,2025,6498068.2630406385
2024-08-31,2024,8,2025,5911858.048220901
2024-09-30,2024,9,2025,6210171.794121728
2024-10-31,2024,10,2025,6705452.752099344
2024-11-30,2024,11,2025,6678181.7857337035
2024-12-31,2024,12,2025,4874971.256019254
2025-01-31,2025,1,2025,6129303.219152935
2025-02-28,2025,2,2025,5303940.380578797
2025-03-31,2025,3,2025,5393804.8045487795
2025-04-30,2025,4,2025,6432877.010984808
2025-05-31,2025,5,2025,5820070.5406311955
2025-06-30,2025,6,2025,6398329.081559325
