date,year,month,fiscal_year,total,naics_sector
2013-07-31,2013,7,2014,847482.0071607549,"Arts, Entertainment, and Other Recreation"
2013-08-31,2013,8,2014,798266.1910240204,"Arts, Entertainment, and Other Recreation"
2013-09-30,2013,9,2014,761115.8427062423,"Arts, Entertainment, and Other Recreation"
2013-10-31,2013,10,2014,901161.9636310467,"Arts, Entertainment, and Other Recreation"
2013-11-30,2013,11,2014,790294.7277005801,"Arts, Entertainment, and Other Recreation"
2013-12-31,2013,12,2014,748349.2670674726,"Arts, Entertainment, and Other Recreation"
2014-01-31,2014,1,2014,1113574.6744225598,"Arts, Entertainment, and Other Recreation"
2014-02-28,2014,2,2014,798538.2566598987,"Arts, Entertainment, and Other Recreation"
2014-03-31,2014,3,2014,913753.0497648453,"Arts, Entertainment, and Other Recreation"
2014-04-30,2014,4,2014,1015158.8482079599,"Arts, Entertainment, and Other Recreation"
2014-05-31,2014,5,2014,860846.6272582625,"Arts, Entertainment, and Other Recreation"
2014-06-30,2014,6,2014,770024.0699068079,"Arts, Entertainment, and Other Recreation"
2014-07-31,2014,7,2015,1045176.4492957596,"Arts, Entertainment, and Other Recreation"
2014-08-31,2014,8,2015,871192.1004020884,"Arts, Entertainment, and Other Recreation"
2014-09-30,2014,9,2015,885949.0558280891,"Arts, Entertainment, and Other Recreation"
2014-10-31,2014,10,2015,1049784.1122809977,"Arts, Entertainment, and Other Recreation"
2014-11-30,2014,11,2015,909718.9424318983,"Arts, Entertainment, and Other Recreation"
2014-12-31,2014,12,2015,883596.3658346345,"Arts, Entertainment, and Other Recreation"
2015-01-31,2015,1,2015,1270327.2254802233,"Arts, Entertainment, and Other Recreation"
2015-02-28,2015,2,2015,894629.716925196,"Arts, Entertainment, and Other Recreation"
2015-03-31,2015,3,2015,1030737.9643946455,"Arts, Entertainment, and Other Recreation"
2015-04-30,2015,4,2015,1235816.729608007,"Arts, Entertainment, and Other Recreation"
2015-05-31,2015,5,2015,933625.227732145,"Arts, Entertainment, and Other Recreation"
2015-06-30,2015,6,2015,859528.3536462652,"Arts, Entertainment, and Other Recreation"
2015-07-31,2015,7,2016,1257161.2552663982,"Arts, Entertainment, and Other Recreation"
2015-08-31,2015,8,2016,927088.0846929606,"Arts, Entertainment, and Other Recreation"
2015-09-30,2015,9,2016,1011400.9680026118,"Arts, Entertainment, and Other Recreation"
2015-10-31,2015,10,2016,1198978.2659330189,"Arts, Entertainment, and Other Recreation"
2015-11-30,2015,11,2016,1027226.6209840723,"Arts, Entertainment, and Other Recreation"
2015-12-31,2015,12,2016,1022708.1721510321,"Arts, Entertainment, and Other Recreation"
2016-01-31,2016,1,2016,1421391.0873625297,"Arts, Entertainment, and Other Recreation"
2016-02-29,2016,2,2016,1080411.9793823706,"Arts, Entertainment, and Other Recreation"
2016-03-31,2016,3,2016,1216272.6495624022,"Arts, Entertainment, and Other Recreation"
2016-04-30,2016,4,2016,1133854.6959829899,"Arts, Entertainment, and Other Recreation"
2016-05-31,2016,5,2016,1209609.5272884322,"Arts, Entertainment, and Other Recreation"
2016-06-30,2016,6,2016,1028803.9432492141,"Arts, Entertainment, and Other Recreation"
2016-07-31,2016,7,2017,1170784.8296242692,"Arts, Entertainment, and Other Recreation"
2016-08-31,2016,8,2017,1235965.9314905158,"Arts, Entertainment, and Other Recreation"
2016-09-30,2016,9,2017,1101335.9225475339,"Arts, Entertainment, and Other Recreation"
2016-10-31,2016,10,2017,1291357.6495405906,"Arts, Entertainment, and Other Recreation"
2016-11-30,2016,11,2017,1137337.0289789382,"Arts, Entertainment, and Other Recreation"
2016-12-31,2016,12,2017,1040581.4228276237,"Arts, Entertainment, and Other Recreation"
2017-01-31,2017,1,2017,1590728.8680981053,"Arts, Entertainment, and Other Recreation"
2017-02-28,2017,2,2017,1154106.8961773692,"Arts, Entertainment, and Other Recreation"
2017-03-31,2017,3,2017,1303401.5953177342,"Arts, Entertainment, and Other Recreation"
2017-04-30,2017,4,2017,1324979.8502373777,"Arts, Entertainment, and Other Recreation"
2017-05-31,2017,5,2017,1253585.656436647,"Arts, Entertainment, and Other Recreation"
2017-06-30,2017,6,2017,1086862.1014726239,"Arts, Entertainment, and Other Recreation"
2017-07-31,2017,7,2018,1349213.3505248898,"Arts, Entertainment, and Other Recreation"
